Name,Address,DataType,RefreshRate,AccessPermission,Gain,Offset,Description
OutQ1Auto,1,Bool,100,ReadAndWrite,1,0,
OutQ2Auto,2,Bool,100,ReadAndWrite,1,0,
OutQ3Auto,3,Bool,100,ReadAndWrite,1,0,
OutQ4Auto,4,Bool,100,ReadAndWrite,1,0,
OutQ5Auto,5,Bool,100,ReadAndWrite,1,0,
OutDanMatAuto,11,Bool,100,ReadAndWrite,1,0,
NhietDo,400001,Word,100,ReadAndWrite,1,0,
DoAm,400002,Word,100,ReadAndWrite,1,0,
TanSo,400005,Word,100,ReadAndWrite,1,0,
TanSoCaiDat,400006,Word,100,ReadAndWrite,1,0,
ThoiGianOnDanMat,400225,Word,100,ReadAndWrite,1,0,
ThoiGianOffDanMat,400226,Word,100,ReadAndWrite,1,0,
Moc1NhietDoBatDanMat,400227,Word,100,ReadAndWrite,1,0,
Minute,400237,Word,100,ReadAndWrite,1,0,
Second,400238,Word,100,ReadAndWrite,1,0,
DHW302,400239,Word,100,ReadAndWrite,1,0,
DHW303,400240,Word,100,ReadAndWrite,1,0,
DHW304,400241,Word,100,ReadAndWrite,1,0,
