Name,Address,DataType,RefreshRate,AccessPermission,Gain,Offset,Description
OutQ1Auto,1,Bool,100,ReadAndWrite,1,0,
OutQ2Auto,2,Bool,100,ReadAndWrite,1,0,
OutQ3Auto,3,Bool,100,ReadAndWrite,1,0,
OutQ4Auto,4,Bool,100,ReadAndWrite,1,0,
OutQ5Auto,5,Bool,100,ReadAndWrite,1,0,
OutQ6Auto,6,Bool,100,ReadAndWrite,1,0,
OutQ7Auto,7,Bool,100,ReadAndWrite,1,0,
OutQ8Auto,8,Bool,100,ReadAndWrite,1,0,
OutQ9Auto,9,Bool,100,ReadAndWrite,1,0,
OutQ10Auto,10,Bool,100,ReadAndWrite,1,0,
OutDanMatAuto,11,Bool,100,ReadAndWrite,1,0,
InAuto,12,Bool,100,ReadAndWrite,1,0,
InMan,13,Bool,100,ReadAndWrite,1,0,
InChayDuPhong,14,Bool,100,ReadAndWrite,1,0,
InQuaTai,15,Bool,100,ReadAndWrite,1,0,
ResetGiaiDoan,16,Bool,100,ReadAndWrite,1,0,
InStatusQ1,17,Bool,100,ReadAndWrite,1,0,
InStatusQ2,18,Bool,100,ReadAndWrite,1,0,
InStatusQ3,19,Bool,100,ReadAndWrite,1,0,
InStatusQ4,20,Bool,100,ReadAndWrite,1,0,
InStatusQ5,21,Bool,100,ReadAndWrite,1,0,
InStatusQ6,22,Bool,100,ReadAndWrite,1,0,
InStatusQ7,23,Bool,100,ReadAndWrite,1,0,
InStatusQ8,24,Bool,100,ReadAndWrite,1,0,
InStatusQ9,25,Bool,100,ReadAndWrite,1,0,
InStatusQ10,26,Bool,100,ReadAndWrite,1,0,
InStatusDanMat,27,Bool,100,ReadAndWrite,1,0,
ChotCaiThuTuOutQuat,28,Bool,100,ReadAndWrite,1,0,khi thay doi thu tu quat thi set bit nay len 1
NhietDo,400001,Word,100,ReadAndWrite,1,0,
DoAm,400002,Word,100,ReadAndWrite,1,0,
Oxi,400003,Word,100,ReadAndWrite,1,0,
NH3,400004,Word,100,ReadAndWrite,1,0,
TanSo,400005,Word,100,ReadAndWrite,1,0,
TanSoCaiDat,400006,Word,100,ReadAndWrite,1,0,
DeadbandNhietDo,400007,Word,100,ReadAndWrite,1,0,do tre nhiet do khi canh bao va het canh bao.
Moc1TuNgay,400008,Word,100,ReadAndWrite,1,0,
Moc1DenNgay,400009,Word,100,ReadAndWrite,1,0,
Moc1SoQuatChayCoDinh,400010,Word,100,ReadAndWrite,1,0,
Moc1NhietDoCao,400011,Word,100,ReadAndWrite,1,0,
Moc1NhietDoThap,400012,Word,100,ReadAndWrite,1,0,
Moc1TanSoCao,400013,Word,100,ReadAndWrite,1,0,
Moc1TanSoThap,400014,Word,100,ReadAndWrite,1,0,
Moc1NhietDoQuat1,400015,Word,100,ReadAndWrite,1,0,
Moc1NhietDoQuat2,400016,Word,100,ReadAndWrite,1,0,
Moc1NhietDoQuat3,400017,Word,100,ReadAndWrite,1,0,
Moc1NhietDoQuat4,400018,Word,100,ReadAndWrite,1,0,
Moc1NhietDoQuat5,400019,Word,100,ReadAndWrite,1,0,
Moc1NhietDoQuat6,400020,Word,100,ReadAndWrite,1,0,
Moc1NhietDoQuat7,400021,Word,100,ReadAndWrite,1,0,
Moc1NhietDoQuat8,400022,Word,100,ReadAndWrite,1,0,
Moc1NhietDoQuat9,400023,Word,100,ReadAndWrite,1,0,
Moc1NhietDoQuat10,400024,Word,100,ReadAndWrite,1,0,
Moc2TuNgay,400025,Word,100,ReadAndWrite,1,0,
Moc2DenNgay,400026,Word,100,ReadAndWrite,1,0,
Moc2SoQuatChayCoDinh,400027,Word,100,ReadAndWrite,1,0,
Moc2NhietDoCao,400028,Word,100,ReadAndWrite,1,0,
Moc2NhietDoThap,400029,Word,100,ReadAndWrite,1,0,
Moc2TanSoCao,400030,Word,100,ReadAndWrite,1,0,
Moc2TanSoThap,400031,Word,100,ReadAndWrite,1,0,
Moc2NhietDoQuat1,400032,Word,100,ReadAndWrite,1,0,
Moc2NhietDoQuat2,400033,Word,100,ReadAndWrite,1,0,
Moc2NhietDoQuat3,400034,Word,100,ReadAndWrite,1,0,
Moc2NhietDoQuat4,400035,Word,100,ReadAndWrite,1,0,
Moc2NhietDoQuat5,400036,Word,100,ReadAndWrite,1,0,
Moc2NhietDoQuat6,400037,Word,100,ReadAndWrite,1,0,
Moc2NhietDoQuat7,400038,Word,100,ReadAndWrite,1,0,
Moc2NhietDoQuat8,400039,Word,100,ReadAndWrite,1,0,
Moc2NhietDoQuat9,400040,Word,100,ReadAndWrite,1,0,Moc2NhietDoQuat9
Moc2NhietDoQuat10,400041,Word,100,ReadAndWrite,1,0,
Moc3TuNgay,400042,Word,100,ReadAndWrite,1,0,
Moc3DenNgay,400043,Word,100,ReadAndWrite,1,0,
Moc3SoQuatChayCoDinh,400044,Word,100,ReadAndWrite,1,0,
Moc3NhietDoCao,400045,Word,100,ReadAndWrite,1,0,
Moc3NhietDoThap,400046,Word,100,ReadAndWrite,1,0,
Moc3TanSoCao,400047,Word,100,ReadAndWrite,1,0,
Moc3TanSoThap,400048,Word,100,ReadAndWrite,1,0,
Moc3NhietDoQuat1,400049,Word,100,ReadAndWrite,1,0,
Moc3NhietDoQuat2,400050,Word,100,ReadAndWrite,1,0,
Moc3NhietDoQuat3,400051,Word,100,ReadAndWrite,1,0,
Moc3NhietDoQuat4,400052,Word,100,ReadAndWrite,1,0,
Moc3NhietDoQuat5,400053,Word,100,ReadAndWrite,1,0,
Moc3NhietDoQuat6,400054,Word,100,ReadAndWrite,1,0,
Moc3NhietDoQuat7,400055,Word,100,ReadAndWrite,1,0,
Moc3NhietDoQuat8,400056,Word,100,ReadAndWrite,1,0,
Moc3NhietDoQuat9,400057,Word,100,ReadAndWrite,1,0,
Moc3NhietDoQuat10,400058,Word,100,ReadAndWrite,1,0,
Moc4TuNgay,400059,Word,100,ReadAndWrite,1,0,
Moc4DenNgay,400060,Word,100,ReadAndWrite,1,0,
Moc4SoQuatChayCoDinh,400061,Word,100,ReadAndWrite,1,0,
Moc4NhietDoCao,400062,Word,100,ReadAndWrite,1,0,
Moc4NhietDoThap,400063,Word,100,ReadAndWrite,1,0,
Moc4TanSoCao,400064,Word,100,ReadAndWrite,1,0,
Moc4TanSoThap,400065,Word,100,ReadAndWrite,1,0,
Moc4NhietDoQuat1,400066,Word,100,ReadAndWrite,1,0,
Moc4NhietDoQuat2,400067,Word,100,ReadAndWrite,1,0,
Moc4NhietDoQuat3,400068,Word,100,ReadAndWrite,1,0,
Moc4NhietDoQuat4,400069,Word,100,ReadAndWrite,1,0,
Moc4NhietDoQuat5,400070,Word,100,ReadAndWrite,1,0,
Moc4NhietDoQuat6,400071,Word,100,ReadAndWrite,1,0,
Moc4NhietDoQuat7,400072,Word,100,ReadAndWrite,1,0,
Moc4NhietDoQuat8,400073,Word,100,ReadAndWrite,1,0,
Moc4NhietDoQuat9,400074,Word,100,ReadAndWrite,1,0,
Moc4NhietDoQuat10,400075,Word,100,ReadAndWrite,1,0,
Moc5TuNgay,400076,Word,100,ReadAndWrite,1,0,
Moc5DenNgay,400077,Word,100,ReadAndWrite,1,0,
Moc5SoQuatChayCoDinh,400078,Word,100,ReadAndWrite,1,0,
Moc5NhietDoCao,400079,Word,100,ReadAndWrite,1,0,
Moc5NhietDoThap,400080,Word,100,ReadAndWrite,1,0,
Moc5TanSoCao,400081,Word,100,ReadAndWrite,1,0,
Moc5TanSoThap,400082,Word,100,ReadAndWrite,1,0,
Moc5NhietDoQuat1,400083,Word,100,ReadAndWrite,1,0,
Moc5NhietDoQuat2,400084,Word,100,ReadAndWrite,1,0,
Moc5NhietDoQuat3,400085,Word,100,ReadAndWrite,1,0,
Moc5NhietDoQuat4,400086,Word,100,ReadAndWrite,1,0,
Moc5NhietDoQuat5,400087,Word,100,ReadAndWrite,1,0,
Moc5NhietDoQuat6,400088,Word,100,ReadAndWrite,1,0,
Moc5NhietDoQuat7,400089,Word,100,ReadAndWrite,1,0,
Moc5NhietDoQuat8,400090,Word,100,ReadAndWrite,1,0,
Moc5NhietDoQuat9,400091,Word,100,ReadAndWrite,1,0,
Moc5NhietDoQuat10,400092,Word,100,ReadAndWrite,1,0,
Moc6TuNgay,400093,Word,100,ReadAndWrite,1,0,
Moc6DenNgay,400094,Word,100,ReadAndWrite,1,0,
Moc6SoQuatChayCoDinh,400095,Word,100,ReadAndWrite,1,0,
Moc6NhietDoCao,400096,Word,100,ReadAndWrite,1,0,
Moc6NhietDoThap,400097,Word,100,ReadAndWrite,1,0,
Moc6TanSoCao,400098,Word,100,ReadAndWrite,1,0,
Moc6TanSoThap,400099,Word,100,ReadAndWrite,1,0,
Moc6NhietDoQuat1,400100,Word,100,ReadAndWrite,1,0,
Moc6NhietDoQuat2,400101,Word,100,ReadAndWrite,1,0,
Moc6NhietDoQuat3,400102,Word,100,ReadAndWrite,1,0,
Moc6NhietDoQuat4,400103,Word,100,ReadAndWrite,1,0,
Moc6NhietDoQuat5,400104,Word,100,ReadAndWrite,1,0,
Moc6NhietDoQuat6,400105,Word,100,ReadAndWrite,1,0,
Moc6NhietDoQuat7,400106,Word,100,ReadAndWrite,1,0,
Moc6NhietDoQuat8,400107,Word,100,ReadAndWrite,1,0,
Moc6NhietDoQuat9,400108,Word,100,ReadAndWrite,1,0,
Moc6NhietDoQuat10,400109,Word,100,ReadAndWrite,1,0,
Quat7TuNgay,400110,Word,100,ReadAndWrite,1,0,
Quat7DenNgay,400111,Word,100,ReadAndWrite,1,0,
Quat7SoQuatChayCoDinh,400112,Word,100,ReadAndWrite,1,0,
Quat7NhietDoCao,400113,Word,100,ReadAndWrite,1,0,
Quat7NhietDoThap,400114,Word,100,ReadAndWrite,1,0,
Quat7TanSoCao,400115,Word,100,ReadAndWrite,1,0,
Quat7TanSoThap,400116,Word,100,ReadAndWrite,1,0,
Quat7NhietDoQuat1,400117,Word,100,ReadAndWrite,1,0,
Quat7NhietDoQuat2,400118,Word,100,ReadAndWrite,1,0,
Quat7NhietDoQuat3,400119,Word,100,ReadAndWrite,1,0,
Quat7NhietDoQuat4,400120,Word,100,ReadAndWrite,1,0,
Quat7NhietDoQuat5,400121,Word,100,ReadAndWrite,1,0,
Quat7NhietDoQuat6,400122,Word,100,ReadAndWrite,1,0,
Quat7NhietDoQuat7,400123,Word,100,ReadAndWrite,1,0,
Quat7NhietDoQuat8,400124,Word,100,ReadAndWrite,1,0,
Quat7NhietDoQuat9,400125,Word,100,ReadAndWrite,1,0,
Quat7NhietDoQuat10,400126,Word,100,ReadAndWrite,1,0,
NgayHienTai,400127,Word,100,ReadAndWrite,1,0,
OffsetNhietDo,400128,Word,100,ReadAndWrite,1,0,
NgayCu,400129,Word,100,ReadAndWrite,1,0,
GiaiDoanHienTai,400130,Word,100,ReadAndWrite,1,0,
CO2,400131,Word,100,ReadAndWrite,1,0,
IsO2,27,Bool,100,ReadAndWrite,1,0,
IsCO2,28,Bool,100,ReadAndWrite,1,0,
IsNH3,29,Bool,100,ReadAndWrite,1,0,
SoQuat,400132,Word,100,ReadAndWrite,1,0,
SoGiaDoan,400133,Word,100,ReadAndWrite,1,0,
Moc8TuNgay,400134,Word,100,ReadAndWrite,1,0,
Moc8DenNgay,400135,Word,100,ReadAndWrite,1,0,
Moc8SoQuatChayCoDinh,400136,Word,100,ReadAndWrite,1,0,
Moc8NhietDoCao,400137,Word,100,ReadAndWrite,1,0,
Moc8NhietDoThap,400138,Word,100,ReadAndWrite,1,0,
Moc8TanSoCao,400139,Word,100,ReadAndWrite,1,0,
Moc8TanSoThap,400140,Word,100,ReadAndWrite,1,0,
Moc8NhietDoQuat1,400141,Word,100,ReadAndWrite,1,0,
Moc8NhietDoQuat2,400142,Word,100,ReadAndWrite,1,0,
Moc8NhietDoQuat3,400143,Word,100,ReadAndWrite,1,0,
Moc8NhietDoQuat4,400144,Word,100,ReadAndWrite,1,0,
Moc8NhietDoQuat5,400145,Word,100,ReadAndWrite,1,0,
Moc8NhietDoQuat6,400146,Word,100,ReadAndWrite,1,0,
Moc8NhietDoQuat7,400147,Word,100,ReadAndWrite,1,0,
Moc8NhietDoQuat8,400148,Word,100,ReadAndWrite,1,0,
Moc8NhietDoQuat9,400149,Word,100,ReadAndWrite,1,0,
Moc8NhietDoQuat10,400150,Word,100,ReadAndWrite,1,0,
Moc9TuNgay,400151,Word,100,ReadAndWrite,1,0,
Moc9DenNgay,400152,Word,100,ReadAndWrite,1,0,
Moc9SoQuatChayCoDinh,400153,Word,100,ReadAndWrite,1,0,
Moc9NhietDoCao,400154,Word,100,ReadAndWrite,1,0,
Moc9NhietDoThap,400155,Word,100,ReadAndWrite,1,0,
Moc9TanSoCao,400156,Word,100,ReadAndWrite,1,0,
Moc9TanSoThap,400157,Word,100,ReadAndWrite,1,0,
Moc9NhietDoQuat1,400158,Word,100,ReadAndWrite,1,0,
Moc9NhietDoQuat2,400159,Word,100,ReadAndWrite,1,0,
Moc9NhietDoQuat3,400160,Word,100,ReadAndWrite,1,0,
Moc9NhietDoQuat4,400161,Word,100,ReadAndWrite,1,0,
Moc9NhietDoQuat5,400162,Word,100,ReadAndWrite,1,0,
Moc9NhietDoQuat6,400163,Word,100,ReadAndWrite,1,0,
Moc9NhietDoQuat7,400164,Word,100,ReadAndWrite,1,0,
Moc9NhietDoQuat8,400165,Word,100,ReadAndWrite,1,0,
Moc9NhietDoQuat9,400166,Word,100,ReadAndWrite,1,0,
Moc9NhietDoQuat10,400167,Word,100,ReadAndWrite,1,0,
Moc10TuNgay,400168,Word,100,ReadAndWrite,1,0,
Moc10DenNgay,400169,Word,100,ReadAndWrite,1,0,
Moc10SoQuatChayCoDinh,400170,Word,100,ReadAndWrite,1,0,
Moc10NhietDoCao,400171,Word,100,ReadAndWrite,1,0,
Moc10NhietDoThap,400172,Word,100,ReadAndWrite,1,0,
Moc10TanSoCao,400173,Word,100,ReadAndWrite,1,0,
Moc10TanSoThap,400174,Word,100,ReadAndWrite,1,0,
Moc10NhietDoQuat1,400175,Word,100,ReadAndWrite,1,0,
Moc10NhietDoQuat2,400176,Word,100,ReadAndWrite,1,0,
Moc10NhietDoQuat3,400177,Word,100,ReadAndWrite,1,0,
Moc10NhietDoQuat4,400178,Word,100,ReadAndWrite,1,0,
